filename,target,kfold
img2123_8_270.png,8,0
img1371_5_180.png,5,0
img2660_9_0.png,9,0
img977_4_0.png,4,0
img1856_7_0.png,7,0
img271_1_90.png,1,0
img684_3_180.png,3,0
img1056_4_0.png,4,0
img958_4_0.png,4,0
img1846_7_0.png,7,0
img2229_8_90.png,8,0
img495_2_270.png,2,0
img2496_9_180.png,9,0
img1575_6_90.png,6,0
img2086_7_180.png,7,0
img2327_8_0.png,8,0
img2022_7_270.png,7,0
img1550_6_180.png,6,0
img1918_7_180.png,7,0
img43_1_270.png,1,0
img1152_4_270.png,4,0
img2649_9_270.png,9,0
img2412_9_270.png,9,0
img2474_9_0.png,9,0
img1563_6_180.png,6,0
img284_1_0.png,1,0
img2456_9_90.png,9,0
img5_1_180.png,1,0
img2196_8_0.png,8,0
img1712_6_270.png,6,0
img2259_8_180.png,8,0
img992_4_270.png,4,0
img290_1_180.png,1,0
img839_3_180.png,3,0
img1017_4_180.png,4,0
img1127_4_90.png,4,0
img366_2_180.png,2,0
img614_2_270.png,2,0
img940_4_90.png,4,0
img424_2_90.png,2,0
img2071_7_90.png,7,0
img2098_8_90.png,8,0
img1900_7_180.png,7,0
img1083_4_90.png,4,0
img178_1_180.png,1,0
img489_2_270.png,2,0
img125_1_270.png,1,0
img2438_9_0.png,9,0
img656_3_0.png,3,0
img1938_7_180.png,7,0
img2361_8_0.png,8,0
img1271_5_0.png,5,0
img146_1_0.png,1,0
img689_3_0.png,3,0
img1245_5_180.png,5,0
img703_3_180.png,3,0
img525_2_180.png,2,0
img418_2_270.png,2,0
img1305_5_90.png,5,0
img2624_9_270.png,9,0
img1992_7_270.png,7,0
img1099_4_90.png,4,0
img523_2_0.png,2,0
img829_3_270.png,3,0
img821_3_180.png,3,0
img2553_9_180.png,9,0
img1254_5_180.png,5,0
img1731_6_0.png,6,0
img1916_7_270.png,7,0
img626_2_270.png,2,0
img2405_9_0.png,9,0
img983_4_0.png,4,0
img2483_9_0.png,9,0
img833_3_90.png,3,0
img222_1_0.png,1,0
img544_2_180.png,2,0
img1101_4_180.png,4,0
img2199_8_180.png,8,0
img2476_9_270.png,9,0
img1623_6_90.png,6,0
img2160_8_90.png,8,0
img1587_6_0.png,6,0
img1891_7_180.png,7,0
