filename,target,kfold
img1199_3_0.png,3,1
img1199_3_90.png,3,1
img1199_3_180.png,3,1
img1199_3_270.png,3,1
img1200_3_0.png,3,1
img1200_3_90.png,3,1
img1200_3_180.png,3,1
img1200_3_270.png,3,1
img1201_1_0.png,1,1
img1201_1_90.png,1,1
img1201_1_180.png,1,1
img1201_1_270.png,1,1
img1202_4_0.png,4,1
img1202_4_90.png,4,1
img1202_4_180.png,4,1
img1202_4_270.png,4,1
img1203_2_0.png,2,1
img1203_2_90.png,2,1
img1203_2_180.png,2,1
img1203_2_270.png,2,1
img1204_2_0.png,2,1
img1204_2_90.png,2,1
img1204_2_180.png,2,1
img1204_2_270.png,2,1
img1205_7_0.png,7,1
img1205_7_90.png,7,1
img1205_7_180.png,7,1
img1205_7_270.png,7,1
img1206_4_0.png,4,1
img1206_4_90.png,4,1
img1206_4_180.png,4,1
img1206_4_270.png,4,1
img1207_2_0.png,2,1
img1207_2_90.png,2,1
img1207_2_180.png,2,1
img1207_2_270.png,2,1
img1208_8_0.png,8,1
img1208_8_90.png,8,1
img1208_8_180.png,8,1
img1208_8_270.png,8,1
img1209_2_0.png,2,1
img1209_2_90.png,2,1
img1209_2_180.png,2,1
img1209_2_270.png,2,1
img1210_5_0.png,5,1
img1210_5_90.png,5,1
img1210_5_180.png,5,1
img1210_5_270.png,5,1
img1211_6_0.png,6,1
img1211_6_90.png,6,1
img1211_6_180.png,6,1
img1211_6_270.png,6,1
img1212_3_0.png,3,1
img1212_3_90.png,3,1
img1212_3_180.png,3,1
img1212_3_270.png,3,1
img1213_1_0.png,1,1
img1213_1_90.png,1,1
img1213_1_180.png,1,1
img1213_1_270.png,1,1
img1214_5_0.png,5,1
img1214_5_90.png,5,1
img1214_5_180.png,5,1
img1214_5_270.png,5,1
img1215_3_0.png,3,1
img1215_3_90.png,3,1
img1215_3_180.png,3,1
img1215_3_270.png,3,1
img1216_3_0.png,3,1
img1216_3_90.png,3,1
img1216_3_180.png,3,1
img1216_3_270.png,3,1
img1217_2_0.png,2,1
img1217_2_90.png,2,1
img1217_2_180.png,2,1
img1217_2_270.png,2,1
img1218_0_0.png,0,1
img1218_0_90.png,0,1
img1218_0_180.png,0,1
img1218_0_270.png,0,1
img1219_1_0.png,1,1
img1219_1_90.png,1,1
img1219_1_180.png,1,1
img1219_1_270.png,1,1
img1220_0_0.png,0,1
img1220_0_90.png,0,1
img1220_0_180.png,0,1
img1220_0_270.png,0,1
img1221_6_0.png,6,1
